cluster_id,feature,mean,zscore,count
0,precipRateNearSurface,3.560468644,-0.222766863,2303779
0,heightStormTop,6306.966492,-0.377585387,2303779
0,heightZeroDeg,4345.144735,-0.849460968,2303779
0,free_bottom_height,1280.407433,-1.231313861,2303779
0,zku_ns,28.37982791,-0.342490388,2303779
0,zka_ns,28.50233446,-0.302663003,2303779
0,dfr_ns,-0.005459413,-0.41784029,2303779
0,zku_max,31.33952537,-0.249070445,2303779
0,zka_max,29.97502286,-0.258870096,2303779
0,dfr_max,0.063198176,-0.102695947,2303779
0,slope_zku,-5.01E-05,0.471493565,2303779
0,slope_zka,0.020149609,-0.950582897,2303779
0,slope_dfr,-0.020199707,0.948338914,2303779
0,zku_max_height,2732.840888,-0.113259596,2303779
0,zka_max_height,21804.07666,1.730763465,2303779
0,dfr_max_height,21804.07666,1.712029109,2303779
0,ipl,2243.676774,-0.268165829,2303779
0,lpl,3080.345591,0.0392575,2303779
0,heightBB,1.934962081,0.233612303,2303779
0,bb_thickness,-0.372071931,-0.243700308,2303779
0,dm_column_max,1.493029044,-0.405415317,2303779
0,nw_column_max,35.66062884,0.765413616,2303779
1,precipRateNearSurface,2.763376192,-0.509830575,2810153
1,heightStormTop,7315.693002,0.430706224,2810153
1,heightZeroDeg,4625.241611,0.377641771,2810153
1,free_bottom_height,1419.591812,-0.385779254,2810153
1,zku_ns,28.63966236,-0.28300065,2810153
1,zka_ns,28.96005266,-0.14108771,2810153
1,dfr_ns,-0.007132071,-0.497389391,2810153
1,zku_max,32.78584752,0.085519089,2810153
1,zka_max,30.60838297,-0.032571183,2810153
1,dfr_max,0.111033276,1.094466819,2810153
1,slope_zku,-3.44E-05,0.800004535,2810153
1,slope_zka,0.027524463,0.342911666,2810153
1,slope_dfr,-0.027558862,-0.334023999,2810153
1,zku_max_height,3729.72542,1.65789456,2810153
1,zka_max_height,2590.731552,-0.51821838,2810153
1,dfr_max_height,7001.795776,-0.422544844,2810153
1,ipl,2692.33064,0.260654858,2810153
1,lpl,3205.710055,0.48331436,2810153
1,heightBB,4.18975801,1.540200707,2810153
1,bb_thickness,-0.795939803,-1.535514945,2810153
1,dm_column_max,1.516874433,-0.335739453,2810153
1,nw_column_max,35.34227309,0.509144681,2810153
2,precipRateNearSurface,8.82826457,1.674369475,1132609
2,heightStormTop,8435.685934,1.328155514,1132609
2,heightZeroDeg,4873.587709,1.465644545,1132609
2,free_bottom_height,1498.201248,0.091767139,1132609
2,zku_ns,37.10731134,1.655688453,1132609
2,zka_ns,33.88795809,1.598471161,1132609
2,dfr_ns,0.039375354,1.714434358,1132609
2,zku_max,38.81930921,1.481289143,1132609
2,zka_max,35.01037426,1.540255756,1132609
2,dfr_max,0.090334706,0.576446415,1132609
2,slope_zku,-5.14E-05,0.443448032,1132609
2,slope_zka,0.020562595,-0.878148222,1132609
2,slope_dfr,-0.020614034,0.87614087,1132609
2,zku_max_height,2446.890062,-0.621305389,1132609
2,zka_max_height,2006.61744,-0.586590754,1132609
2,dfr_max_height,6652.282344,-0.472946689,1132609
2,ipl,3653.035292,1.393021105,1132609
2,lpl,3375.751466,1.085622642,1132609
2,heightBB,0.002344698,-0.88628304,1132609
2,bb_thickness,-0.000385614,0.889081522,1132609
2,dm_column_max,2.207972671,1.683639121,1132609
2,nw_column_max,32.57361524,-1.719560134,1132609
3,precipRateNearSurface,1.564000359,-0.941772037,3372352
3,heightStormTop,5054.386768,-1.38127635,3372352
3,heightZeroDeg,4312.192309,-0.993825348,3372352
3,free_bottom_height,1734.180941,1.525325976,3372352
3,zku_ns,25.37611694,-1.030197415,3372352
3,zka_ns,26.08858544,-1.154720448,3372352
3,dfr_ns,-0.01347826,-0.799204678,3372352
3,zku_max,26.72002272,-1.317737787,3372352
3,zka_max,27.20438966,-1.248814476,3372352
3,dfr_max,0.004640256,-1.568217286,3372352
3,slope_zku,-0.000154583,-1.714946132,3372352
3,slope_zka,0.034040747,1.485819452,3372352
3,slope_dfr,-0.034195331,-1.490455785,3372352
3,zku_max_height,2276.897382,-0.923329576,3372352
3,zka_max_height,1670.329271,-0.625954331,3372352
3,dfr_max_height,4269.63882,-0.816537576,3372352
3,ipl,1295.716806,-1.385510134,3372352
3,lpl,2615.243132,-1.608194502,3372352
3,heightBB,0.000192857,-0.88752997,3372352
3,bb_thickness,-4.04E-05,0.890133731,3372352
3,dm_column_max,1.309226231,-0.942484351,3372352
3,nw_column_max,35.26259022,0.445001837,3372352
