sample_index,latitude,longitude,cluster_label
681,31.901134,128.79669,0
2592,15.644973,109.265236,0
2598,15.767943,109.01508,0
5594,18.497906,122.48721,0
6506,24.244333,113.80046,0
6836,23.313011,114.58381,0
7623,20.82393,114.63963,0
7703,22.84627,117.61917,0
8300,24.686209,105.20229,0
9700,29.25051,109.08978,0
10824,19.312841,110.060234,0
11306,20.116474,112.99535,0
13087,49.033157,112.272606,0
13610,40.013245,114.201324,0
13885,31.426641,107.14858,0
14311,33.68696,107.37852,0
14527,34.370884,107.86771,0
16671,38.367535,109.84503,0
17976,34.619907,125.22735,0
18194,35.1543,125.50566,0
18402,35.05941,126.70016,0
18410,35.25278,126.32512,0
18634,35.79813,126.18124,0
18930,20.198994,106.16679,0
19528,32.242077,133.02173,0
19733,15.611095,133.08827,0
21066,33.46805,115.612144,0
21200,32.970806,115.42583,0
21443,33.01038,116.694565,0
22222,20.303883,123.1692,0
23220,36.15468,105.50896,0
23663,47.66102,106.71357,0
25101,33.32521,127.05244,0
26611,32.834187,106.11647,0
26821,33.635864,106.67452,0
28333,43.18733,105.668915,0
28777,15.900434,120.74168,0
29098,45.352665,125.85077,0
29248,44.954205,126.24229,0
30770,19.920034,128.25928,0
30781,24.943823,110.482925,0
30886,24.64206,110.689865,0
30909,24.642529,110.79917,0
31704,24.254873,112.00779,0
31715,24.524015,111.97594,0
32559,15.064236,123.478775,0
32856,25.40282,127.619736,0
33073,19.408464,130.50153,0
33478,25.07928,120.93795,0
34220,26.788555,122.47338,0
34317,26.945004,122.66671,0
34862,34.253403,108.57076,0
36379,28.528772,108.74223,0
38295,27.351435,117.16081,0
38806,32.986008,119.99635,0
39936,28.583424,125.365585,0
40097,30.384575,126.241066,0
40350,37.523163,131.00734,0
43405,42.960884,111.07397,0
44601,29.721344,120.19124,0
45331,47.08439,132.10979,0
45822,28.526619,113.43679,0
45905,28.434689,113.65795,0
45964,28.343225,113.87942,0
46155,27.739265,113.6917,0
46190,27.782084,114.17894,0
47265,50.1874,118.1772,0
47411,49.97972,118.63597,0
48268,39.504288,128.81644,0
48731,26.55209,127.04874,0
48891,27.31768,127.11814,0
49062,29.434193,129.13263,0
49381,53.56329,131.04303,0
50251,40.12042,123.037254,0
50910,15.380017,106.45825,0
51877,52.00636,119.72591,0
51905,51.841507,119.85979,0
52167,50.983673,120.4599,0
52269,51.090942,121.46159,0
52310,50.67866,120.96297,0
53097,48.444126,124.33581,0
53592,47.522793,125.866005,0
55782,27.643488,124.18622,0
56105,28.11197,125.22755,0
57299,30.083673,126.27378,0
57457,30.250557,126.66505,0
58296,38.292744,130.46832,0
58330,38.553585,130.79146,0
58580,26.672543,111.58468,0
59911,51.715343,127.727615,0
64719,27.697412,132.98471,0
65335,28.724976,134.22234,0
65423,29.157072,133.83318,0
65545,29.251411,134.17143,0
65657,29.723696,133.68437,0
66716,39.185787,110.53743,0
67069,24.670177,118.26685,0
68280,16.6354,122.75008,0
68435,18.6383,113.92426,0
68754,38.852066,125.988,0
69118,46.072582,132.35686,0
69701,47.479507,130.9103,0
70097,25.034405,125.52258,0
70159,24.994028,125.93677,0
70225,25.377153,125.531166,0
70389,25.61947,125.76358,0
71225,27.308947,126.7495,0
71232,27.492392,126.45291,0
73091,26.751074,131.04205,0
73110,26.777723,131.19603,0
73381,26.24757,131.24957,0
73817,25.249321,131.37422,0
74153,24.89114,132.27425,0
75481,18.649317,126.99644,0
77216,29.972174,112.86255,0
78387,30.555307,105.343315,0
78511,29.802246,105.775764,0
78792,26.646687,107.893364,0
79657,47.614594,113.15657,0
79684,47.912956,112.80693,0
80381,41.898804,115.03503,0
80845,27.14689,124.24026,0
82103,15.418759,129.8963,0
82408,22.159788,132.94286,0
82877,23.576641,134.16818,0
83604,25.453583,110.72066,0
84350,18.562424,113.91464,0
84652,17.623732,114.33548,0
86556,20.542608,116.900536,0
87727,27.927364,105.79735,0
87922,30.775558,108.30836,0
88209,36.519108,110.67555,0
88338,37.064026,111.374756,0
88578,37.92922,112.0484,0
89319,40.271828,114.41855,0
89801,27.228243,118.205315,0
89986,25.391306,119.38806,0
92613,48.46954,125.04665,0
92882,48.5457,126.71202,0
97638,25.214329,130.7536,0
97878,26.382343,131.2424,0
99064,26.548235,128.16078,0
103338,28.313318,120.36445,0
103888,26.243877,121.799736,0
104361,51.008015,125.48405,0
104865,16.576632,120.309975,0
104879,16.718508,120.32086,0
105679,50.6989,119.6179,0
105794,41.682007,129.0327,0
106001,25.54521,130.05656,0
106126,25.150972,131.08594,0
108000,29.125164,109.85093,0
108767,19.431503,114.66387,0
109536,29.297985,112.14763,0
110308,27.731499,115.01038,0
111207,53.638847,118.41992,0
111213,53.797993,119.74621,0
111452,30.027153,107.14481,0
115514,53.3553,111.84456,0
116066,45.542126,134.10799,0
117973,23.752062,128.03995,0
120112,26.907331,120.52571,0
123011,53.427685,121.10104,0
123053,53.26986,121.975334,0
124029,23.568476,130.07285,0
124751,20.951931,123.119865,0
125076,26.145384,125.9476,0
125478,29.52308,127.71967,0
125487,29.76778,127.626205,0
125970,47.36166,110.42492,0
126054,48.04577,109.81843,0
126702,21.093985,110.65568,0
128533,26.973364,120.37618,0
133989,32.422863,109.71962,0
135287,53.67517,133.18753,0
136265,25.43074,116.671936,0
136376,24.770355,117.17707,0
137403,15.159933,124.15381,0
138074,28.28776,125.0411,0
139080,48.238464,126.91874,0
139689,46.513763,127.45835,0
141489,31.26411,134.36417,0
142137,31.071535,125.59441,0
142992,31.081165,117.1369,0
143886,41.272865,123.390236,0
144169,43.52918,125.069824,0
145236,15.537528,111.555115,0
146335,30.388453,124.91451,0
146343,30.036991,125.71092,0
146669,31.037973,125.049736,0
146736,31.149931,125.23329,0
147054,31.918493,125.441345,0
147857,35.93574,107.60049,0
149043,16.723373,117.450294,0
151625,51.505466,105.89004,0
151893,26.108625,125.64174,0
152054,28.852242,127.05458,0
152266,29.552021,126.98331,0
153689,24.612465,109.82182,0
155425,23.234375,108.73652,0
155786,32.094822,114.4668,0
156058,33.171425,114.88551,0
158331,40.294765,122.50972,0
160048,52.694027,117.929886,0
160370,53.68391,106.014626,0
161134,48.531612,113.66446,0
161200,48.666122,114.207184,0
162444,21.40673,133.38263,0
163100,28.338099,113.00194,0
164691,25.475853,125.46565,0
167899,22.186174,119.986534,0
168134,18.739079,122.22131,0
171229,17.86151,118.22721,0
172332,25.006607,121.50618,0
172479,47.046947,125.8829,0
174393,18.347246,126.650024,0
174495,19.23889,126.73752,0
174634,19.855978,127.22649,0
175197,21.390825,128.40865,0
175668,41.439182,117.44817,0
180671,48.12912,115.7892,0
180817,48.60568,115.64301,0
181719,40.160637,125.19967,0
186825,53.859993,105.37143,0
188146,21.178324,123.74681,0
190159,17.821566,106.51386,0
190524,19.032356,106.28495,0
190587,19.340519,106.26934,0
190752,19.665604,106.52054,0
190856,19.906519,106.94157,0
190980,20.249357,107.360855,0
191042,40.61038,119.10999,0
191851,17.741274,118.60771,0
192783,28.29886,105.15651,0
193891,19.452545,127.009445,0
193903,19.071014,126.7156,0
195016,28.011501,107.85279,0
195632,25.87186,127.75949,0
196361,27.598501,128.56255,0
197712,51.71538,112.92623,0
197759,29.879066,130.05904,0
199074,32.33705,107.86672,0
199357,49.04615,122.11149,0
200087,30.781609,123.57051,0
202308,37.14059,123.17525,0
203011,41.089733,125.76528,0
203626,44.724895,120.108215,0
205091,50.487236,109.45068,0
209900,42.719666,124.84415,0
210041,41.657894,124.94844,0
210107,41.73336,125.530945,0
212836,42.46647,125.23469,0
213455,50.99836,107.63313,0
216171,25.664244,129.27184,0
216336,25.586168,129.97096,0
219464,33.501102,110.084625,0
